id,usia,gender,year_in_school,major,pendapatan,bantuan,pendidikan,tempat_tinggal,makanan,transportasi,buku,hiburan,perawatan,teknologi,kesehatan,lainnya,preferred_payment_method,total_pemasukan,total_pengeluaran,sisa_uang,rasio_pengeluaran,financial_score,status_finansial,cluster,nama_cluster
15,22,Non-binary,Sophomore,Computer Science,19632000,416000,2226667.0,4243200.0,1836800.0,801600.0,1120000.0,532800.0,537600.0,525600.0,862400.0,610400.0,Cash,20048000,13297067.0,6750933.0,0.6632615223463687,44.23,Bahaya,1,Mahasiswa Boros / Defisit
16,23,Female,Freshman,Psychology,22704000,3792000,2906667.0,4238400.0,2021600.0,960000.0,902400.0,364800.0,123200.0,2052000.0,1036000.0,425600.0,Cash,26496000,15030667.0,11465333.0,0.5672806083937199,54.6,Waspada,1,Mahasiswa Boros / Defisit
17,21,Female,Freshman,Computer Science,23264000,13616000,1886933.0,3619200.0,1999200.0,528000.0,1203200.0,158400.0,134400.0,360000.0,414400.0,257600.0,Mobile Payment App,36880000,10561333.0,26318667.0,0.28637020065075924,76.0,Sangat Sehat,0,Mahasiswa Mapan & Hemat
18,19,Female,Sophomore,Psychology,23792000,4976000,2347200.0,4238400.0,1635200.0,331200.0,326400.0,360000.0,336000.0,756000.0,1013600.0,918400.0,Credit/Debit Card,28768000,12262400.0,16505600.0,0.4262513904338153,68.13,Sangat Sehat,0,Mahasiswa Mapan & Hemat
19,20,Female,Senior,Engineering,18512000,6416000,1669867.0,4252800.0,1097600.0,628800.0,1382400.0,273600.0,218400.0,1900800.0,218400.0,974400.0,Mobile Payment App,24928000,12617067.0,12310933.0,0.5061403642490372,63.24,Stabil,0,Mahasiswa Mapan & Hemat
20,19,Male,Junior,Psychology,18880000,11712000,2243200.0,2865600.0,1422400.0,936000.0,428800.0,244800.0,117600.0,698400.0,1036000.0,257600.0,Credit/Debit Card,30592000,10250400.0,20341600.0,0.3350679916317992,71.89,Sangat Sehat,0,Mahasiswa Mapan & Hemat
21,24,Male,Sophomore,Computer Science,8256000,8784000,2601600.0,3907200.0,1601600.0,864000.0,1804800.0,264000.0,140000.0,554400.0,408800.0,1030400.0,Mobile Payment App,17040000,13176800.0,3863200.0,0.7732863849765258,32.37,Bahaya,1,Mahasiswa Boros / Defisit
22,18,Non-binary,Sophomore,Biology,19600000,9760000,2665600.0,2270400.0,890400.0,643200.0,1881600.0,177600.0,481600.0,1144800.0,336000.0,240800.0,Cash,29360000,10732000.0,18628000.0,0.36553133514986375,66.01,Stabil,0,Mahasiswa Mapan & Hemat
23,24,Non-binary,Senior,Economics,9312000,4560000,2245333.0,2020800.0,1948800.0,662400.0,915200.0,297600.0,476000.0,1569600.0,632800.0,336000.0,Credit/Debit Card,13872000,11104533.0,2767467.0,0.8004997837370242,27.97,Bahaya,1,Mahasiswa Boros / Defisit
24,19,Female,Senior,Economics,16992000,896000,2400000.0,3508800.0,1332800.0,494400.0,486400.0,532800.0,532000.0,1713600.0,414400.0,464800.0,Mobile Payment App,17888000,11880000.0,6008000.0,0.6641323792486583,42.08,Bahaya,1,Mahasiswa Boros / Defisit
25,25,Female,Junior,Biology,16864000,8448000,2925867.0,3787200.0,2240000.0,388800.0,1350400.0,456000.0,414400.0,1706400.0,784000.0,761600.0,Mobile Payment App,25312000,14814667.0,10497333.0,0.5852823561946903,50.84,Waspada,1,Mahasiswa Boros / Defisit
26,20,Male,Senior,Economics,10672000,11040000,1888533.0,3657600.0,968800.0,888000.0,1843200.0,254400.0,212800.0,604800.0,890400.0,767200.0,Credit/Debit Card,21712000,11975733.0,9736267.0,0.5515720799557848,56.14,Waspada,0,Mahasiswa Mapan & Hemat
27,20,Female,Junior,Psychology,12736000,11280000,2995200.0,3187200.0,1629600.0,859200.0,1664000.0,609600.0,117600.0,813600.0,1086400.0,448000.0,Credit/Debit Card,24016000,13410400.0,10605600.0,0.5583944037308461,54.09,Waspada,0,Mahasiswa Mapan & Hemat
28,24,Non-binary,Sophomore,Psychology,14480000,10736000,2216533.0,2131200.0,912800.0,628800.0,902400.0,633600.0,173600.0,1123200.0,532000.0,716800.0,Credit/Debit Card,25216000,9970933.0,15245067.0,0.39542088356598987,65.23,Stabil,0,Mahasiswa Mapan & Hemat
29,23,Non-binary,Junior,Engineering,8496000,7168000,1652800.0,3561600.0,2206400.0,859200.0,608000.0,307200.0,347200.0,525600.0,582400.0,968800.0,Mobile Payment App,15664000,11619200.0,4044800.0,0.7417773237997957,37.88,Bahaya,1,Mahasiswa Boros / Defisit
30,23,Non-binary,Freshman,Economics,22816000,48000,3169600.0,3249600.0,1657600.0,528000.0,876800.0,700800.0,117600.0,1116000.0,588000.0,145600.0,Mobile Payment App,22864000,12149600.0,10714400.0,0.5313855843247026,58.62,Waspada,0,Mahasiswa Mapan & Hemat
31,23,Male,Sophomore,Psychology,23440000,4832000,2889067.0,2246400.0,632800.0,912000.0,857600.0,571200.0,459200.0,1987200.0,924000.0,1069600.0,Mobile Payment App,28272000,12549067.0,15722933.0,0.4438690930956423,61.31,Waspada,0,Mahasiswa Mapan & Hemat
32,24,Non-binary,Junior,Computer Science,8352000,8880000,2792533.0,4128000.0,946400.0,638400.0,940800.0,590400.0,268800.0,993600.0,498400.0,840000.0,Credit/Debit Card,17232000,12637333.0,4594667.0,0.7333642641597029,35.13,Bahaya,1,Mahasiswa Boros / Defisit
33,25,Female,Freshman,Economics,21408000,1760000,2994667.0,2246400.0,1820000.0,758400.0,1561600.0,470400.0,257600.0,1663200.0,1024800.0,448000.0,Cash,23168000,13245067.0,9922933.0,0.5716966073895028,50.54,Waspada,1,Mahasiswa Boros / Defisit
34,23,Male,Junior,Biology,21808000,5840000,1718400.0,3336000.0,1036000.0,796800.0,633600.0,556800.0,380800.0,554400.0,173600.0,901600.0,Mobile Payment App,27648000,10088000.0,17560000.0,0.3648726851851852,70.78,Sangat Sehat,0,Mahasiswa Mapan & Hemat
35,21,Male,Freshman,Biology,21248000,5120000,1648000.0,3446400.0,1422400.0,446400.0,1305600.0,355200.0,168000.0,1641600.0,336000.0,1002400.0,Cash,26368000,11772000.0,14596000.0,0.4464502427184466,65.69,Stabil,0,Mahasiswa Mapan & Hemat
36,22,Male,Sophomore,Engineering,21600000,10800000,2096533.0,2217600.0,2083200.0,705600.0,1804800.0,715200.0,515200.0,1936800.0,588000.0,1064000.0,Cash,32400000,13726933.0,18673067.0,0.42367077160493827,63.99,Stabil,0,Mahasiswa Mapan & Hemat
37,23,Non-binary,Senior,Computer Science,20944000,4240000,2752000.0,2880000.0,996800.0,710400.0,1190400.0,422400.0,436800.0,1742400.0,302400.0,963200.0,Cash,25184000,12396800.0,12787200.0,0.49224904701397715,61.41,Waspada,0,Mahasiswa Mapan & Hemat
38,21,Female,Senior,Biology,15440000,4016000,2850133.0,3336000.0,1394400.0,422400.0,1593600.0,235200.0,162400.0,2145600.0,537600.0,173600.0,Cash,19456000,12850933.0,6605067.0,0.6605125925164473,41.03,Bahaya,1,Mahasiswa Boros / Defisit
39,20,Female,Senior,Engineering,9600000,6272000,3057600.0,3796800.0,1730400.0,854400.0,428800.0,105600.0,162400.0,1022400.0,414400.0,588000.0,Mobile Payment App,15872000,12160800.0,3711200.0,0.766179435483871,34.25,Bahaya,1,Mahasiswa Boros / Defisit
40,24,Female,Freshman,Engineering,9680000,1888000,3037867.0,3134400.0,924000.0,907200.0,966400.0,412800.0,459200.0,842400.0,464800.0,873600.0,Mobile Payment App,11568000,12022667.0,-454667.0,1.0393038554633471,12.39,Bahaya,1,Mahasiswa Boros / Defisit
41,25,Male,Sophomore,Economics,12864000,2240000,2843733.0,2481600.0,1618400.0,705600.0,979200.0,600000.0,240800.0,1144800.0,246400.0,711200.0,Cash,15104000,11571733.0,3532267.0,0.7661369835805085,30.97,Bahaya,1,Mahasiswa Boros / Defisit
42,23,Female,Sophomore,Economics,20384000,7184000,2474133.0,3624000.0,767200.0,264000.0,1593600.0,494400.0,280000.0,1267200.0,375200.0,980000.0,Cash,27568000,12119733.0,15448267.0,0.43963047736506095,63.94,Stabil,0,Mahasiswa Mapan & Hemat
43,23,Male,Junior,Psychology,8144000,15072000,2110933.0,2452800.0,2189600.0,921600.0,1689600.0,273600.0,476000.0,777600.0,644000.0,789600.0,Credit/Debit Card,23216000,12325333.0,10890667.0,0.5308982167470709,58.81,Waspada,0,Mahasiswa Mapan & Hemat
44,23,Female,Senior,Economics,20560000,14096000,2038933.0,3552000.0,1416800.0,873600.0,1472000.0,153600.0,515200.0,849600.0,190400.0,218400.0,Credit/Debit Card,34656000,11280533.0,23375467.0,0.3255001442751616,72.52,Sangat Sehat,0,Mahasiswa Mapan & Hemat
45,18,Male,Freshman,Computer Science,14864000,5568000,2055467.0,2832000.0,1142400.0,940800.0,1171200.0,619200.0,448000.0,1173600.0,649600.0,308000.0,Credit/Debit Card,20432000,11340267.0,9091733.0,0.5550248140172279,54.85,Waspada,0,Mahasiswa Mapan & Hemat
46,25,Non-binary,Freshman,Psychology,18608000,3760000,2640533.0,2635200.0,1461600.0,412800.0,1184000.0,489600.0,117600.0,1814400.0,173600.0,492800.0,Cash,22368000,11422133.0,10945867.0,0.5106461462804006,60.17,Waspada,0,Mahasiswa Mapan & Hemat
47,19,Male,Senior,Psychology,19120000,11920000,2810133.0,4416000.0,935200.0,273600.0,563200.0,542400.0,336000.0,1742400.0,196000.0,593600.0,Mobile Payment App,31040000,12408533.0,18631467.0,0.3997594394329897,67.61,Sangat Sehat,0,Mahasiswa Mapan & Hemat
48,25,Male,Junior,Psychology,16576000,4160000,2208533.0,4406400.0,683200.0,412800.0,672000.0,297600.0,492800.0,648000.0,946400.0,767200.0,Cash,20736000,11534933.0,9201067.0,0.5562757040895062,55.99,Waspada,0,Mahasiswa Mapan & Hemat
49,24,Female,Junior,Economics,9408000,3376000,2600000.0,2899200.0,912800.0,484800.0,1267200.0,427200.0,128800.0,921600.0,347200.0,235200.0,Mobile Payment App,12784000,10224000.0,2560000.0,0.799749687108886,28.13,Bahaya,1,Mahasiswa Boros / Defisit
50,20,Female,Junior,Engineering,22032000,11568000,2887467.0,3772800.0,1988000.0,657600.0,1196800.0,216000.0,504000.0,1044000.0,1120000.0,151200.0,Cash,33600000,13537867.0,20062133.0,0.4029127083333333,68.11,Sangat Sehat,0,Mahasiswa Mapan & Hemat
51,21,Non-binary,Freshman,Economics,23216000,7664000,2923200.0,3172800.0,784000.0,321600.0,819200.0,148800.0,268800.0,2109600.0,207200.0,716800.0,Credit/Debit Card,30880000,11472000.0,19408000.0,0.3715025906735751,66.33,Stabil,0,Mahasiswa Mapan & Hemat
52,19,Male,Senior,Computer Science,10704000,10560000,2038933.0,4017600.0,1080800.0,552000.0,480000.0,580800.0,364000.0,1080000.0,537600.0,324800.0,Cash,21264000,11056533.0,10207467.0,0.5199648702031603,62.23,Stabil,0,Mahasiswa Mapan & Hemat
53,18,Male,Freshman,Psychology,20704000,13088000,2175467.0,3868800.0,644000.0,465600.0,454400.0,115200.0,173600.0,568800.0,599200.0,352800.0,Mobile Payment App,33792000,9417867.0,24374133.0,0.2787010830965909,74.71,Sangat Sehat,0,Mahasiswa Mapan & Hemat
54,24,Non-binary,Senior,Engineering,15056000,1440000,1966933.0,4622400.0,2083200.0,945600.0,934400.0,153600.0,481600.0,784800.0,252000.0,1108800.0,Mobile Payment App,16496000,13333333.0,3162667.0,0.8082767337536373,32.0,Bahaya,1,Mahasiswa Boros / Defisit
55,22,Female,Sophomore,Engineering,18096000,4992000,2263467.0,4444800.0,1898400.0,681600.0,1516800.0,696000.0,520800.0,871200.0,509600.0,884800.0,Cash,23088000,14287467.0,8800533.0,0.6188265332640333,48.48,Waspada,1,Mahasiswa Boros / Defisit
56,24,Non-binary,Freshman,Computer Science,13664000,11200000,2572800.0,2520000.0,1248800.0,696000.0,851200.0,225600.0,509600.0,2116800.0,1069600.0,952000.0,Cash,24864000,12762400.0,12101600.0,0.5132882882882883,58.41,Waspada,0,Mahasiswa Mapan & Hemat
57,20,Male,Sophomore,Economics,18528000,10448000,1609067.0,4608000.0,1209600.0,926400.0,1913600.0,192000.0,341600.0,1893600.0,308000.0,789600.0,Mobile Payment App,28976000,13791467.0,15184533.0,0.47596172694643846,65.63,Stabil,0,Mahasiswa Mapan & Hemat
58,25,Non-binary,Sophomore,Biology,10688000,800000,1946667.0,2236800.0,2111200.0,772800.0,1414400.0,288000.0,448000.0,1296000.0,795200.0,481600.0,Mobile Payment App,11488000,11790667.0,-302667.0,1.0263463614206128,13.03,Bahaya,1,Mahasiswa Boros / Defisit
59,20,Female,Junior,Biology,11120000,15520000,2503467.0,3004800.0,1702400.0,499200.0,1280000.0,225600.0,397600.0,1605600.0,520800.0,1069600.0,Mobile Payment App,26640000,12809067.0,13830933.0,0.4808208333333333,62.96,Stabil,0,Mahasiswa Mapan & Hemat
60,20,Male,Junior,Engineering,22000000,11552000,2874133.0,1996800.0,739200.0,926400.0,953600.0,321600.0,151200.0,1879200.0,257600.0,240800.0,Mobile Payment App,33552000,10340533.0,23211467.0,0.30819423581306626,68.3,Sangat Sehat,0,Mahasiswa Mapan & Hemat
61,23,Female,Junior,Engineering,17344000,5040000,2776000.0,3460800.0,1288000.0,364800.0,902400.0,412800.0,190400.0,1346400.0,890400.0,806400.0,Mobile Payment App,22384000,12438400.0,9945600.0,0.5556826304503216,54.09,Waspada,0,Mahasiswa Mapan & Hemat
62,18,Female,Senior,Biology,11728000,13408000,2798933.0,4689600.0,1668800.0,787200.0,1542400.0,408000.0,436800.0,2023200.0,677600.0,940800.0,Cash,25136000,15973333.0,9162667.0,0.6354763287714831,45.21,Bahaya,1,Mahasiswa Boros / Defisit
63,20,Non-binary,Freshman,Economics,16976000,15824000,2770133.0,2227200.0,2072000.0,278400.0,492800.0,648000.0,190400.0,892800.0,224000.0,957600.0,Mobile Payment App,32800000,10753333.0,22046667.0,0.32784551829268294,69.66,Sangat Sehat,0,Mahasiswa Mapan & Hemat
64,19,Female,Junior,Computer Science,21632000,208000,1814933.0,2289600.0,806400.0,393600.0,1216000.0,523200.0,470400.0,583200.0,313600.0,448000.0,Mobile Payment App,21840000,8858933.0,12981067.0,0.4056288003663004,65.59,Stabil,0,Mahasiswa Mapan & Hemat
65,19,Male,Freshman,Biology,17472000,8800000,3115200.0,4396800.0,840000.0,686400.0,1644800.0,432000.0,162400.0,1886400.0,1075200.0,991200.0,Mobile Payment App,26272000,15230400.0,11041600.0,0.5797198538367844,50.23,Waspada,1,Mahasiswa Boros / Defisit
66,24,Male,Freshman,Economics,15408000,5872000,2042667.0,4238400.0,1456000.0,379200.0,889600.0,648000.0,358400.0,388800.0,453600.0,414400.0,Mobile Payment App,21280000,11269067.0,10010933.0,0.5295614191729323,61.64,Waspada,0,Mahasiswa Mapan & Hemat
67,21,Female,Junior,Engineering,19264000,1936000,2272533.0,2342400.0,1584800.0,532800.0,1836800.0,552000.0,313600.0,1656000.0,476000.0,134400.0,Credit/Debit Card,21200000,11701333.0,9498667.0,0.5519496698113208,53.71,Waspada,0,Mahasiswa Mapan & Hemat
68,23,Male,Senior,Engineering,18944000,1664000,2869333.0,4512000.0,644000.0,888000.0,1094400.0,278400.0,252000.0,799200.0,168000.0,946400.0,Mobile Payment App,20608000,12451733.0,8156267.0,0.6042184103260869,50.04,Waspada,1,Mahasiswa Boros / Defisit
69,22,Male,Junior,Economics,8992000,11648000,2432000.0,4732800.0,1713600.0,504000.0,697600.0,432000.0,554400.0,1346400.0,1092000.0,190400.0,Mobile Payment App,20640000,13695200.0,6944800.0,0.6635271317829458,43.9,Bahaya,1,Mahasiswa Boros / Defisit
70,19,Male,Freshman,Economics,19488000,14048000,2476267.0,2164800.0,1310400.0,811200.0,1536000.0,504000.0,117600.0,1713600.0,565600.0,212800.0,Mobile Payment App,33536000,11412267.0,22123733.0,0.3402989921278626,67.66,Sangat Sehat,0,Mahasiswa Mapan & Hemat
71,21,Non-binary,Sophomore,Computer Science,19760000,12880000,2902400.0,3576000.0,2184000.0,720000.0,1459200.0,460800.0,448000.0,748800.0,196000.0,733600.0,Cash,32640000,13428800.0,19211200.0,0.411421568627451,68.02,Sangat Sehat,0,Mahasiswa Mapan & Hemat
72,23,Non-binary,Sophomore,Economics,22784000,5872000,1717333.0,3283200.0,1836800.0,566400.0,582400.0,686400.0,492800.0,705600.0,890400.0,302400.0,Cash,28656000,11063733.0,17592267.0,0.38608783500837524,69.98,Sangat Sehat,0,Mahasiswa Mapan & Hemat
73,22,Female,Freshman,Biology,18816000,12864000,2278400.0,4132800.0,1708000.0,465600.0,678400.0,494400.0,240800.0,1332000.0,582400.0,375200.0,Mobile Payment App,31680000,12288000.0,19392000.0,0.3878787878787879,69.88,Sangat Sehat,0,Mahasiswa Mapan & Hemat
74,25,Female,Sophomore,Engineering,21344000,1296000,2125867.0,4190400.0,1008000.0,892800.0,1510400.0,110400.0,341600.0,633600.0,487200.0,184800.0,Credit/Debit Card,22640000,11485067.0,11154933.0,0.507290945229682,64.76,Stabil,0,Mahasiswa Mapan & Hemat
75,19,Female,Senior,Computer Science,23072000,5664000,2864533.0,3518400.0,856800.0,796800.0,672000.0,139200.0,448000.0,619200.0,767200.0,610400.0,Cash,28736000,11292533.0,17443467.0,0.39297511831848553,68.02,Sangat Sehat,0,Mahasiswa Mapan & Hemat
76,22,Male,Sophomore,Computer Science,15728000,13792000,3013333.0,3110400.0,890400.0,614400.0,1657600.0,595200.0,543200.0,691200.0,840000.0,750400.0,Cash,29520000,12706133.0,16813867.0,0.4304245596205962,63.68,Stabil,0,Mahasiswa Mapan & Hemat
77,24,Female,Sophomore,Computer Science,14624000,384000,2603200.0,2707200.0,834400.0,264000.0,390400.0,619200.0,442400.0,1296000.0,526400.0,184800.0,Credit/Debit Card,15008000,9868000.0,5140000.0,0.6575159914712153,40.9,Bahaya,1,Mahasiswa Boros / Defisit
78,22,Non-binary,Senior,Economics,14368000,2480000,2894933.0,4166400.0,980000.0,619200.0,947200.0,547200.0,414400.0,1411200.0,582400.0,431200.0,Cash,16848000,12994133.0,3853867.0,0.7712567070275403,31.36,Bahaya,1,Mahasiswa Boros / Defisit
79,23,Non-binary,Junior,Economics,18624000,5712000,2779733.0,3028800.0,1853600.0,600000.0,1273600.0,552000.0,268800.0,936000.0,599200.0,1097600.0,Cash,24336000,12989333.0,11346667.0,0.5337497123602892,57.52,Waspada,0,Mahasiswa Mapan & Hemat
80,18,Female,Freshman,Biology,23744000,9504000,2472533.0,2486400.0,1674400.0,355200.0,352000.0,499200.0,487200.0,878400.0,957600.0,1080800.0,Mobile Payment App,33248000,11243733.0,22004267.0,0.3381777249759384,68.52,Sangat Sehat,0,Mahasiswa Mapan & Hemat
81,19,Female,Junior,Biology,18032000,13600000,2722133.0,2990400.0,2156000.0,451200.0,1235200.0,139200.0,319200.0,1864800.0,632800.0,173600.0,Mobile Payment App,31632000,12684533.0,18947467.0,0.40100319296914516,67.2,Sangat Sehat,0,Mahasiswa Mapan & Hemat
82,24,Non-binary,Senior,Biology,17680000,10736000,2933867.0,4036800.0,1316000.0,787200.0,697600.0,691200.0,560000.0,1814400.0,1108800.0,201600.0,Cash,28416000,14147467.0,14268533.0,0.49786975647522524,63.11,Stabil,0,Mahasiswa Mapan & Hemat
83,19,Male,Freshman,Computer Science,21616000,2496000,2415467.0,3254400.0,1041600.0,854400.0,480000.0,163200.0,532000.0,698400.0,784000.0,420000.0,Mobile Payment App,24112000,10643467.0,13468533.0,0.4414178417385534,66.86,Sangat Sehat,0,Mahasiswa Mapan & Hemat
84,22,Female,Freshman,Biology,14880000,12288000,1626667.0,2352000.0,1954400.0,259200.0,1113600.0,384000.0,285600.0,2001600.0,800800.0,229600.0,Mobile Payment App,27168000,11007467.0,16160533.0,0.40516294905771494,66.24,Stabil,0,Mahasiswa Mapan & Hemat
85,25,Non-binary,Senior,Computer Science,21536000,14912000,3030933.0,3446400.0,2105600.0,729600.0,998400.0,451200.0,453600.0,1584000.0,812000.0,464800.0,Credit/Debit Card,36448000,14076533.0,22371467.0,0.3862086534240562,67.94,Sangat Sehat,0,Mahasiswa Mapan & Hemat
86,25,Non-binary,Sophomore,Computer Science,19840000,704000,2080533.0,2966400.0,1764000.0,849600.0,1152000.0,196800.0,352800.0,1778400.0,627200.0,772800.0,Credit/Debit Card,20544000,12540533.0,8003467.0,0.610423140576324,48.08,Waspada,1,Mahasiswa Boros / Defisit
87,25,Female,Junior,Computer Science,11632000,2288000,2160533.0,4032000.0,1506400.0,571200.0,774400.0,633600.0,224000.0,1245600.0,1108800.0,700000.0,Credit/Debit Card,13920000,12956533.0,963467.0,0.9307854166666667,19.15,Bahaya,1,Mahasiswa Boros / Defisit
88,20,Female,Junior,Economics,9952000,15344000,2510400.0,2068800.0,1310400.0,883200.0,1689600.0,259200.0,470400.0,2124000.0,907200.0,991200.0,Mobile Payment App,25296000,13214400.0,12081600.0,0.5223908918406072,56.21,Waspada,0,Mahasiswa Mapan & Hemat
89,23,Male,Sophomore,Economics,12800000,14928000,2828800.0,2020800.0,806400.0,465600.0,326400.0,494400.0,369600.0,1778400.0,1024800.0,515200.0,Credit/Debit Card,27728000,10630400.0,17097600.0,0.3833814195037507,63.96,Stabil,0,Mahasiswa Mapan & Hemat
90,18,Non-binary,Junior,Psychology,19184000,8256000,3178133.0,3734400.0,1456000.0,393600.0,1523200.0,355200.0,459200.0,1072800.0,705600.0,347200.0,Credit/Debit Card,27440000,13225333.0,14214667.0,0.48197277696793,63.39,Stabil,0,Mahasiswa Mapan & Hemat
91,19,Male,Senior,Economics,16096000,6272000,1880533.0,1972800.0,1999200.0,523200.0,1715200.0,513600.0,526400.0,468000.0,772800.0,812000.0,Cash,22368000,11183733.0,11184267.0,0.499988063304721,62.06,Waspada,0,Mahasiswa Mapan & Hemat
92,23,Non-binary,Sophomore,Economics,20720000,14448000,2358933.0,3796800.0,2223200.0,691200.0,409600.0,283200.0,442400.0,1346400.0,1058400.0,632800.0,Mobile Payment App,35168000,13242933.0,21925067.0,0.37656201660600547,70.14,Sangat Sehat,0,Mahasiswa Mapan & Hemat
93,18,Male,Sophomore,Economics,19552000,10000000,2259200.0,4137600.0,711200.0,864000.0,403200.0,436800.0,504000.0,1375200.0,487200.0,683200.0,Mobile Payment App,29552000,11861600.0,17690400.0,0.4013806172171088,68.39,Sangat Sehat,0,Mahasiswa Mapan & Hemat
94,18,Female,Senior,Computer Science,22144000,12800000,2571733.0,3883200.0,1327200.0,835200.0,544000.0,100800.0,403200.0,936000.0,1036000.0,582400.0,Credit/Debit Card,34944000,12219733.0,22724267.0,0.34969474015567764,70.85,Sangat Sehat,0,Mahasiswa Mapan & Hemat
95,18,Female,Junior,Engineering,16560000,8208000,1795733.0,3648000.0,1019200.0,273600.0,608000.0,571200.0,117600.0,1195200.0,834400.0,666400.0,Credit/Debit Card,24768000,10729333.0,14038667.0,0.43319335432816536,66.49,Stabil,0,Mahasiswa Mapan & Hemat
96,20,Male,Freshman,Economics,22320000,11568000,2733867.0,2644800.0,1444800.0,624000.0,518400.0,489600.0,470400.0,1684800.0,963200.0,436800.0,Credit/Debit Card,33888000,12010667.0,21877333.0,0.35442242091595844,67.6,Sangat Sehat,0,Mahasiswa Mapan & Hemat
